instruction_mouse.x,instruction_mouse.y,instruction_mouse.leftButton,instruction_mouse.midButton,instruction_mouse.rightButton,instruction_mouse.clicked_name,introduce_general.thisRepN,introduce_general.thisTrialN,introduce_general.thisN,introduce_general.thisIndex,introduce_general.ran,thisInstruction,participant,session,game version,date,expName,psychopyVersion,OS,frameRate,PROLIFIC PID,STUDY ID,SESSION ID,move_resp.keys,move_resp.rt,end_resp.keys,phase,condition,trial_num,time_limit,completion_time,left_right_steps,number_of_obsticle_blocks,number_of_tree_blocks,quest_complete,responsivity_summary,av_inter_brainslug_intervals,proportion_jitter,jitter_direction_proportion_right,calibration_phase.thisRepN,calibration_phase.thisTrialN,calibration_phase.thisN,calibration_phase.thisIndex,calibration_phase.ran,BlockLabel,nObsticles,backgroundImage,phaseLabel,n_side_steps,success_im,gameover_im,success_condition,introduce_learning_or_choice.thisRepN,introduce_learning_or_choice.thisTrialN,introduce_learning_or_choice.thisN,introduce_learning_or_choice.thisIndex,introduce_learning_or_choice.ran,choice_resp.keys,chosen_quest,unchosen_quest,choice_resp_3afc.keys,choice_resp_3afc.rt,unchosen_quests,forced_choice_trial.thisRepN,forced_choice_trial.thisTrialN,forced_choice_trial.thisN,forced_choice_trial.thisIndex,forced_choice_trial.ran,enjoyment_slider.response,enjoyment_slider.rt,effort_slider.response,effort_slider.rt,show_loop2.thisRepN,show_loop2.thisTrialN,show_loop2.thisN,show_loop2.thisIndex,show_loop2.ran,trials_per_block.thisRepN,trials_per_block.thisTrialN,trials_per_block.thisN,trials_per_block.thisIndex,trials_per_block.ran
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 2 With Money,12,images/assets/snowy_money.jpg,learning,20,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,9,9,2,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 2 No Money,12,images/assets/snowy_original.jpg,learning,20,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,10,10,3,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,No Brainslug Difficult 2 With Money,12,images/assets/snowy_money.jpg,learning,20,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,With Brainslug Difficult 2 With Money,With Brainslug Difficult 1 No Money,right,4.8816,"[""With Brainslug Difficult 1 No Money"",""With Brainslug Difficult 2 No Money""]",0,0,0,7,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,With Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,learning,10,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,1,1,5,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,learning,10,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,2,2,10,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,No Brainslug No Barriers With Money,0,images/assets/snowy_money.jpg,learning,10,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,3,3,9,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 2 No Money,12,images/assets/snowy_original.jpg,learning,20,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,4,4,3,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 1 With Money,6,images/assets/snowy_money.jpg,learning,20,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,5,5,0,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,No Brainslug Difficult 1 No Money,6,images/assets/snowy_original.jpg,learning,20,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,6,6,6,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,With Brainslug No Barriers With Money,0,images/assets/snowy_money.jpg,learning,10,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,7,7,4,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,"[""left"",""left"",""right"",""left"",""left"",""left"",""right"",""left"",""left"",""left"",""left"",""left"",""left"",""right""]","[0.6202000000029102,1.1525000000000318,2.8202000000029557,3.410799999997039,3.8314000000059423,4.100900000005936,4.318200000003003,4.824299999997038,5.256299999997054,5.579799999997022,5.879000000000019,6.2557999999969525,6.859299999997006,7.466000000000008]",,calibration,With Brainslug Difficult 2 With Money,5,8.61745,8.6399,4,1,0,FALSE,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 2 With Money,12,images/assets/snowy_money.jpg,learning,20,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,8,8,2,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,No Brainslug Difficult 2 No Money,12,images/assets/snowy_original.jpg,learning,20,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,9,9,8,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 1 No Money,6,images/assets/snowy_original.jpg,learning,20,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,10,10,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 1 With Money,6,images/assets/snowy_money.jpg,learning,20,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,With Brainslug Difficult 1 No Money,With Brainslug Difficult 1 No Money,left,4.1819,"[""With Brainslug Difficult 2 No Money"",""With Brainslug Difficult 2 With Money""]",0,0,0,0,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 2 No Money,12,images/assets/snowy_original.jpg,learning,20,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,1,1,3,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,No Brainslug Difficult 2 No Money,12,images/assets/snowy_original.jpg,learning,20,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,2,2,8,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,"[""left"",""left"",""right"",""right"",""left"",""right"",""right"",""left""]","[0.710200000002942,1.2442000000029338,2.045900000005986,2.5421000000088725,3.5119999999999436,4.250100000008956,5.213499999999954,6.1821000000089725]",,calibration,With Brainslug Difficult 1 No Money,6,8.61745,6.972,4,5,0,TRUE,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 1 No Money,6,images/assets/snowy_original.jpg,learning,20,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,3,3,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,With Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,learning,10,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,4,4,5,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67d34a0adaf54e3354cf2b1c,001,3,2025-04-15_07h17.55.919,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67d34a0adaf54e3354cf2b1c,67fe37cb3bd870bba73819bd,67fe3df008e6cdf9fae61593,,,,,,,,,,,,,,,,,,,,,,With Brainslug No Barriers With Money,0,images/assets/snowy_money.jpg,learning,10,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,5,5,4,1,,,,,,,,,,,,,,
