instruction_mouse.x,instruction_mouse.y,instruction_mouse.leftButton,instruction_mouse.midButton,instruction_mouse.rightButton,instruction_mouse.clicked_name,introduce_general.thisRepN,introduce_general.thisTrialN,introduce_general.thisN,introduce_general.thisIndex,introduce_general.ran,thisInstruction,participant,session,game version,date,expName,psychopyVersion,OS,frameRate,PROLIFIC PID,STUDY ID,SESSION ID,move_resp.keys,move_resp.rt,end_resp.keys,phase,condition,trial_num,time_limit,completion_time,left_right_steps,number_of_obsticle_blocks,number_of_tree_blocks,quest_complete,responsivity_summary,av_inter_brainslug_intervals,proportion_jitter,jitter_direction_proportion_right,calibration_phase.thisRepN,calibration_phase.thisTrialN,calibration_phase.thisN,calibration_phase.thisIndex,calibration_phase.ran,BlockLabel,nObsticles,backgroundImage,phaseLabel,n_side_steps,success_im,gameover_im,success_condition,introduce_learning_or_choice.thisRepN,introduce_learning_or_choice.thisTrialN,introduce_learning_or_choice.thisN,introduce_learning_or_choice.thisIndex,introduce_learning_or_choice.ran,choice_resp.keys,chosen_quest,unchosen_quest,choice_resp_3afc.keys,choice_resp_3afc.rt,unchosen_quests,forced_choice_trial.thisRepN,forced_choice_trial.thisTrialN,forced_choice_trial.thisN,forced_choice_trial.thisIndex,forced_choice_trial.ran,enjoyment_slider.response,enjoyment_slider.rt,effort_slider.response,effort_slider.rt,show_loop2.thisRepN,show_loop2.thisTrialN,show_loop2.thisN,show_loop2.thisIndex,show_loop2.ran,trials_per_block.thisRepN,trials_per_block.thisTrialN,trials_per_block.thisN,trials_per_block.thisIndex,trials_per_block.ran
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,No Brainslug No Barriers With Money,0,images/assets/snowy_money.jpg,learning,10,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,With Brainslug Difficult 2 No Money,With Brainslug Difficult 1 No Money,down,4.0783,"[""With Brainslug Difficult 1 No Money"",""With Brainslug Difficult 2 With Money""]",0,0,0,9,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,With Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,learning,10,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,1,1,5,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 1 No Money,6,images/assets/snowy_original.jpg,learning,20,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,2,2,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,learning,10,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,3,3,10,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 1 With Money,6,images/assets/snowy_money.jpg,learning,20,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,4,4,0,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 2 With Money,12,images/assets/snowy_money.jpg,learning,20,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,5,5,2,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,With Brainslug No Barriers With Money,0,images/assets/snowy_money.jpg,learning,10,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,6,6,4,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,No Brainslug Difficult 1 No Money,6,images/assets/snowy_original.jpg,learning,20,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,7,7,6,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,No Brainslug Difficult 2 No Money,12,images/assets/snowy_original.jpg,learning,20,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,8,8,8,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,"[""left"",""left"",""up"",""down"",""right"",""up"",""right"",""right"",""left"",""down"",""up"",""down"",""left"",""right"",""right"",""left"",""right"",""left""]","[1.026100000023689,1.4243000000117263,2.5443999999761218,3.3696999999879154,3.8691000000237636,4.619899999976042,5.07630000001177,5.967300000011846,6.489800000011883,6.728399999976091,7.168100000023742,7.524600000023838,8.023699999987912,8.079399999975976,8.58060000002365,8.83549999999991,9.192300000011755,9.57049999999981]",,calibration,With Brainslug Difficult 2 No Money,4,9.9017,9.9191,6,2,0,FALSE,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
